big bl to mr      OFWF	        2695        2590.82      459359       136032
big bl to mr      Basic	      2694.4        2591.53      536832       124473
big bl to cl      OFWF	      1213.4        1175.08      149689        44044
big bl to cl      Basic	      1212.2        1175.08      269093      61811.2
big tl to cl      OFWF	       894.4        847.825      109031      32222.2
big tl to cl      Basic	         892        847.595      202201      46787.5
big m to um       OFWF	      3268.2        3140.47      702489       210096
big m to um       Basic	      3266.6        3141.89      732332       168856
tite bl to tr     OFWF	      2874.6        2748.77      174281        53143
tite bl to tr     Basic	      2865.4        2748.62      277042      68309.5
tite tl to br     OFWF	       949.8    1.4822e-322       37599        10723
tite tl to br     Basic	       949.8    1.4822e-322       37599      8858.75
tite bl to mr     OFWF	      4645.4         4451.8      200194        59179
tite bl to mr     Basic	      4631.8        4455.49      265576      65013.2
tite bl to cl     OFWF	      1748.2        1683.91      100634      30106.5
tite bl to cl     Basic	      1741.4        1682.69      147840      36117.8
tite tl to cl     OFWF	      5029.6        4820.36      409714       122430
tite tl to cl     Basic	      5024.4         4822.5      439661       107215
   
