dest07 to dest04  OFWF	     292.824       283.8     3144   1862.5
dest07 to dest04  Basic	     292.824       283.8    15554   9105.1
dest07 to dest05  OFWF	     226.366     210.004     2014   1219.7
dest07 to dest05  Basic	     226.366     210.004    11494   6170.6
dest07 to dest06  OFWF	     121.118     112.254      567    337.4
dest07 to dest06  Basic	     121.118     112.254     3291   3291.8
dest07 to dest08  OFWF	      72.252     67.1193      302    180.4
dest07 to dest08  Basic	      72.252     67.1193      693    400.3
dest07 to dest09  OFWF	      310.34     293.255     3492   2400.3
dest07 to dest09  Basic	      310.34     293.255    12951   7461.3
dest08 to dest01  OFWF	      451.97     428.703     8739     6307
dest08 to dest01  Basic	      451.97     428.703    17296  10297.6
dest08 to dest02  OFWF	     336.894     326.956     7896   5873.9
dest08 to dest02  Basic	     335.722     325.692    17331  10378.7
dest08 to dest03  OFWF	     375.282     364.963     6801   4185.5
dest08 to dest03  Basic	     373.282     364.645    18323  11854.1
dest08 to dest04  OFWF	     356.104     342.675     6485   3937.6
dest08 to dest04  Basic	     355.518     342.675    17128  10487.8
dest08 to dest05  OFWF	     298.614     277.276     2603   1662.9
dest08 to dest05  Basic	     298.614     277.139    15418   8725.6
dest08 to dest06  OFWF	     193.366      179.36      929    542.4
dest08 to dest06  Basic	     193.366      179.36     5260   3894.7
dest08 to dest07  OFWF	      72.252     67.1193      296    182.4
dest08 to dest07  Basic	      72.252     67.1193     1135    708.6
dest08 to dest09  OFWF	     371.276     352.118     6925   7039.2
dest08 to dest09  Basic	     371.276     352.118    17130  11149.7
dest09 to dest01  OFWF	      80.698     75.5139      714    424.3
dest09 to dest01  Basic	      80.698     75.5139     1348    792.5
dest09 to dest02  OFWF	     165.086     154.785     1510    949.5
dest09 to dest02  Basic	     165.086     154.785     8898   6491.4
dest09 to dest03  OFWF	     306.684     285.817     3251   1964.2
dest09 to dest03  Basic	     306.684     285.817    16479  10351.7
dest09 to dest04  OFWF	      344.41     322.307     5616   3405.4
dest09 to dest04  Basic	     344.308     325.144    16994  10234.5
dest09 to dest05  OFWF	     368.384      347.45     3143     1804
dest09 to dest05  Basic	     368.384     347.787    17048  10833.1
dest09 to dest06  OFWF	     404.664     380.752     4460   2606.3
dest09 to dest06  Basic	     404.664     381.695    17440  10453.4
dest09 to dest07  OFWF	     311.996     293.258     3326     1984
dest09 to dest07  Basic	      310.34     294.731    16659  10510.3
dest09 to dest08  OFWF	     372.932      351.29     4619   3738.8
dest09 to dest08  Basic	     371.276      352.94    16554  10095.7

testmap1
tl to br  OFWF	     624.992     625.082     2209   2118.9
tl to br  Basic	     624.992     625.082   200250   127255
bl to mr  OFWF	     507.772     470.472    14268   9424.1
bl to mr  Basic	     507.772     470.472   203147   127010

testmap2
tl to br  OFWF	     844.742     826.466    62930  38685.5
tl to br  Basic	     844.742     826.466   130098  74658.9
ml to mr  OFWF	     1218.01     1180.43   156223   102234
ml to mr  Basic	     1218.01     1180.43   186370   107430
mr to ml  OFWF	     1218.01     1176.29   110260  72762.9
mr to ml  Basic	     1218.01     1176.29   183449   102603

testmap3
tl to br  OFWF	     725.198     682.252   106783  71301.8
tl to br  Basic	     725.198     682.252   195037   111904
tl to um  OFWF	      393.06     374.565    23732  13777.1
tl to um  Basic	      393.06     374.565   169208  94084.6

testmap4
tl to br  OFWF	     705.274     654.431    63926  42327.9
tl to br  Basic	     705.274     654.431   208120   126248
ml to mr  OFWF	     479.652     453.993    33609  22638.5
ml to mr  Basic	     479.652     453.993   196657   116049
ml to m  OFWF	     430.162     411.901    16761   9918.9
ml to m  Basic	     430.162     411.901   196329   117615
m to ml  OFWF	     430.162     409.889    78973  49823.4
m to ml  Basic	     430.162     409.889   181563   102918
